ids,entitynum,region,site,londd,latdd,altitude,samplenum,agebp,minD,DJFPdelta,JJAPdelta,JJATdelta,DJFTdelta,Alnus,Apiaceae,Artemisia,Asteroideae,Betula,Buxus,Caryophyllaceae,Castanea,Chenopodiaceae,Cichorioideae,Corylus,Cyperaceae,Dipsacaceae,Ephedra,Ericales,Fagus,Hippophae,Ilex,Juglans,Juniperus,Lamiaceae,Pinus,Plantago,Plumbaginaceae,Poaceae,Quercus..deciduous.,Ranunculaceae,Rosaceae,Rubiaceae,Rumex,Salix,Thalictrum,Tilia,Ulmus,Urtica
Entity_33_Region_Europe,33,Europe,Lago de Ajo,-6.15,43.05,1570,28,3384.82,23.03332774,53.6625,-17.4625,-2.325,2.975,0,0,0,0,25.77,0,0,0,0.69,0,11.68,0,0,0,0.69,0,0,0,0,0,0,17.18,2.06,0,7.9,30.24,0,0,0,1.03,0,0,0,0.69,0
Entity_33_Region_Europe,33,Europe,Lago de Ajo,-6.15,43.05,1570,29,3538.86,23.12146826,48.9375,-19.3625,-3.3,4.9625,0,0.62,0,0.93,23.99,0,0,0,0,0,23.36,0,0,0,2.49,0,0,0,0,0,0,13.71,1.25,0,2.8,24.92,0,1.25,0,0,0.62,0,0,3.12,0
Entity_33_Region_Europe,33,Europe,Lago de Ajo,-6.15,43.05,1570,30,3654.39,16.65208993,58.95,-17.875,-3.65,5.2625,0,0.62,0.62,0,20.68,0,0,0,0,0,17.9,0,0,0,0.93,0,0,0,0,0,0,19.44,0,0,2.78,29.94,0,0.62,0,0.62,0,0,0,4.32,0
Entity_33_Region_Europe,33,Europe,Lago de Ajo,-6.15,43.05,1570,31,3782.75,17.98901458,59.7375,-24.7625,-3.5875,5.375,0,0,0,0,19.39,0,0,0,0,0,19.05,0,0,0,0,0,0,0,0,0,0,14.97,0,0,4.08,31.63,0,2.04,0,0,0,0,0,7.48,0
Entity_33_Region_Europe,33,Europe,Lago de Ajo,-6.15,43.05,1570,32,3911.12,15.2125064,55.525,-16.5875,-3.025,3.4625,0.62,0,0,0,25.08,0,0,0,0,0,16.1,0,0,0,0,0,0,0,0,0,0,18.27,0.62,0,4.02,27.55,0,0.93,0,0.62,0,0,0,4.95,0
Entity_33_Region_Europe,33,Europe,Lago de Ajo,-6.15,43.05,1570,33,4039.48,19.22680313,54.2,-7.3375,-3.475,2.425,0,0.67,0,0,21.14,0,0,0,0,0,16.45,0,0,0,0,0,0,0,0,0.67,0,20.47,0,0,4.03,28.19,0,2.01,0,0,0,0,0,4.03,0
Entity_33_Region_Europe,33,Europe,Lago de Ajo,-6.15,43.05,1570,34,4167.85,21.7950315,52.7,-27.0375,-3.0375,5.6125,0.64,0,0,0,22.83,0,0,0,0,0,19.61,0,0,0,1.93,0,0,0,0,0,0,13.18,0,0,3.22,32.15,0,1.29,0,1.29,0,0,0,3.22,0
Entity_33_Region_Europe,33,Europe,Lago de Ajo,-6.15,43.05,1570,35,4296.21,19.22492094,44.625,-8.5375,-2.7125,2.175,0.61,0,0.61,0,19.57,0,0,0,0,0,21.72,0,0,0,0.61,0,0,0,0,0,0,17.74,0,0,4.28,25.99,0,1.53,0,0.92,1.22,0,0,4.28,0
Entity_33_Region_Europe,33,Europe,Lago de Ajo,-6.15,43.05,1570,36,4424.58,21.98027399,50.8125,-25.8625,-2.6375,5.8,0.67,0,0,0,22,0,0,0,0,0,23.67,0,0,0,1.33,0,0,0,0,0,0,13,0,0,3,26.33,0,1.67,0,1,0,0,0,6.33,0
Entity_33_Region_Europe,33,Europe,Lago de Ajo,-6.15,43.05,1570,37,4552.94,25.50036501,34.5375,-16.6125,-2.1625,1.8875,0,1.57,0,0,16.61,0,0,0,0,0,22.26,0,0,0,1.88,0,0,0,0,0,0,18.81,0,0,4.08,20.06,0,3.13,0,0,0,0.63,0,9.4,0
Entity_33_Region_Europe,33,Europe,Lago de Ajo,-6.15,43.05,1570,38,5059.17,18.47788319,44.3125,-23.575,-2.3375,3.5,0,0,0,0,22.32,0,0,0,0,0,20.83,0.6,0,0,0,0,0,0,0,0,0,18.45,0.89,0,3.57,22.32,0,1.19,0,1.19,0,0,0,7.14,0
Entity_33_Region_Europe,33,Europe,Lago de Ajo,-6.15,43.05,1570,39,6031.67,23.02631491,54.4625,-18.0875,-3.025,3.3625,0,0,0.69,0,16.61,0,0,0,0,0,13.84,0,0,0,1.73,0,0,0,0,0,0,24.57,0,0,3.11,36.33,0,1.73,0,0,0,0,0,0,0
Entity_33_Region_Europe,33,Europe,Lago de Ajo,-6.15,43.05,1570,40,6827.35,21.86018887,48.5375,-10.4625,-3.3375,2.2625,0,0,0,0,17.2,0,0,0,0,0,14.97,0,0,0,1.27,0,0,0,0,0,0,25.16,0,0,3.5,33.44,0,1.59,0,0.64,0.96,0,0,0,0
Entity_33_Region_Europe,33,Europe,Lago de Ajo,-6.15,43.05,1570,41,7711.43,23.06549883,32.3375,-28.7125,-2.8375,-0.175,0,0.57,0,0,15.58,0,0,0,0,0,16.14,0,0,0,1.13,0,0,0,0,0,0,19.83,0,0,4.25,39.66,0,1.98,0,0.57,0,0,0,0,0
Entity_33_Region_Europe,33,Europe,Lago de Ajo,-6.15,43.05,1570,42,7964.11,20.16587407,28.2125,-52.4625,-2.7125,0.7125,0,0,0,0,8.77,0,0,0,0,0,13.31,0,0,0,0.97,0,0.65,0,0,0,0,27.6,0,0,2.6,42.21,0,2.27,0,0,0.65,0,0,0,0
Entity_33_Region_Europe,33,Europe,Lago de Ajo,-6.15,43.05,1570,43,8233.06,9.395706253,59.1625,-8.325,-3.3625,1.3625,0,0,0,0,8.83,0,0,0,0,0,2.52,0,0,0,0.63,0,0,0,0,0,0,40.06,0,0,6.31,38.8,0,0,0,0.63,0.63,0,0,0,0
Entity_33_Region_Europe,33,Europe,Lago de Ajo,-6.15,43.05,1570,44,8502,8.573372887,53.9625,-22.4875,-4.275,3.3125,0,0,0,0,11.63,0,0,0,0,0.66,0,0,0,0,0.66,0,0,0,0,0,0,48.84,0,0,2.66,32.23,0,0,0,1.33,0,0,0,0,0
Entity_33_Region_Europe,33,Europe,Lago de Ajo,-6.15,43.05,1570,45,8770.95,10.08944806,57.075,-10.8125,-2.9625,0.7,0,0.63,0,0,13.92,0,0,0,0,0.95,0,0,0,0,0,0,0,0,0,0,0,34.49,1.27,0,7.59,40.19,0,0,0,0,0,0,0,0,0
Entity_33_Region_Europe,33,Europe,Lago de Ajo,-6.15,43.05,1570,46,9308.84,14.38021476,63.325,-8.1,-2.8625,1.0375,0,0.65,1.29,0,20.32,0,0,0,0,0.65,0.65,0,0,0,0,0,0,0,0,0,0,27.1,1.29,0,12.9,29.68,0,1.61,0,2.9,0.97,0,0,0,0
Entity_33_Region_Europe,33,Europe,Lago de Ajo,-6.15,43.05,1570,47,9577.78,13.22127803,59.1625,-14.5125,-3.8625,1.6625,0,0,0.61,0,22.8,0,0,0,0,0,0,0,0,0,0.61,0,0,0,0,0,0,31.91,0,0,5.78,33.74,0,0.91,0.61,0.61,0.91,0,0,0,0
Entity_33_Region_Europe,33,Europe,Lago de Ajo,-6.15,43.05,1570,48,9873.62,14.01925134,68.825,-8.6,-3.1375,1.85,0.66,1.97,1.31,0,20.98,0,0,0,0,0,1.64,0,0,0,0,0,0,0,0,0,0,29.51,0,0,10.16,28.85,0,0,0,1.97,1.31,0,0,0,0
Entity_33_Region_Europe,33,Europe,Lago de Ajo,-6.15,43.05,1570,49,10115.67,15.71304583,53.2,-17.425,-3.725,1.325,0,0,0.65,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.1,0.97,0,6.13,31.29,0,0,0,2.58,0,0,0,0,0
Entity_33_Region_Europe,33,Europe,Lago de Ajo,-6.15,43.05,1570,50,10384.62,13.25725348,60.2,-21.75,-2.7,2.7375,0,1.67,1.67,0,20.07,0,0,0,0,2.34,0.67,0,0,0,0,0,0,0,0,0.67,0,47.83,2.34,0,6.35,12.71,0,0.67,0,2.01,0,0,0,0,0
Entity_33_Region_Europe,33,Europe,Lago de Ajo,-6.15,43.05,1570,51,10653.56,18.02564873,57.225,-12.925,-2.325,1.875,0,0.99,3.29,0,35.86,0,0,0,0,1.64,0,0,0,0,0,0,0,0,0,0.99,0,22.37,3.29,0,9.87,18.09,0,1.32,0,1.32,0,0,0,0,0
Entity_33_Region_Europe,33,Europe,Lago de Ajo,-6.15,43.05,1570,52,10922.51,21.09723918,67.0375,-14.7875,-2.6875,2.8125,0,2.43,3.12,0.69,19.1,0,0.69,0,0,5.9,0.69,1.04,0,0,0,0,0,0,0,0,0,40.28,0.69,0,14.24,7.99,0,0,0,2.78,0,0,0,0,0
Entity_33_Region_Europe,33,Europe,Lago de Ajo,-6.15,43.05,1570,53,11191.45,17.98941888,64.325,-13.4125,-2.4625,2.8,0,0.66,2.65,0,29.8,0,1.32,0,0.99,1.99,0,0,0,0,0.66,0,0,0,0,0.99,0,34.44,0.99,0,14.9,6.29,0,0.99,0.99,1.66,0,0,0,0,0
Entity_33_Region_Europe,33,Europe,Lago de Ajo,-6.15,43.05,1570,54,11460.39,17.24849795,57.1875,-12.425,-1.7875,2.5875,0,0,8.52,1.97,5.9,0,0.98,0,1.31,0.98,0,0.98,0,0,0.66,0,0,0,0,0,0,53.44,1.64,0,20.33,0.66,0,0.66,0,0.98,0,0,0,0,0
Entity_33_Region_Europe,33,Europe,Lago de Ajo,-6.15,43.05,1570,55,11865.96,21.93380653,37.3625,-3,-2.525,1.9875,0,1.26,16.72,1.26,1.58,0,0,0,2.21,1.26,0,0.63,0,0,0,0,0,0,0,0,0,42.27,2.84,0,22.4,0.95,0.63,0.95,0,4.1,0,0,0,0,0
Entity_33_Region_Europe,33,Europe,Lago de Ajo,-6.15,43.05,1570,56,12271.52,12.80028235,71.0125,-11.6,-3.325,3.45,0,0.7,3.87,0,11.27,0,1.06,0,2.11,0,0,0,0,0,0,0,0,0,0,0,0,57.39,0,0,12.68,2.82,0.7,0,0,4.93,0,0,0,0,0
Entity_33_Region_Europe,33,Europe,Lago de Ajo,-6.15,43.05,1570,57,13123.19,14.59137943,60.0875,-15.8625,-2.525,3.25,0,0.64,6.37,0,8.92,0,0,0,0,0.96,0.96,0,0,0,0,0,0,0,0,0,0,61.78,1.59,0,9.87,2.23,0,0.64,0,4.46,0.64,0,0,0,0
Entity_33_Region_Europe,33,Europe,Lago de Ajo,-6.15,43.05,1570,58,13285.42,14.19695185,70.25,-10.15,-3.1875,2.9875,0,0,3.38,0,14.35,0,0,0,0.84,1.69,0,0,0,0,0,0,0,0,0,1.27,0,50.63,0.84,0,15.61,5.49,0,0,0,3.8,0,0,0,0,0
Entity_33_Region_Europe,33,Europe,Lago de Ajo,-6.15,43.05,1570,59,13488.2,23.3090267,68.325,-17.0875,-3.125,3.3125,0,0.64,5.1,0.96,35.67,0,0,0,0,1.91,2.23,0.64,0,0,0.64,0,0,0,0,2.23,0,13.69,2.23,0,25.16,0,0,0,0.64,7.01,0,0,0,0,0
Entity_33_Region_Europe,33,Europe,Lago de Ajo,-6.15,43.05,1570,60,13690.98,24.76708229,57.875,-11.25,-2.2875,5.825,0,0,15.29,1.76,3.82,0,0,0,3.82,0.59,0,1.76,0,0.88,1.47,0,0.59,0,0,1.47,0,31.18,3.82,0,28.24,0.59,0,0,1.18,2.06,0,0.59,0,0,0
Entity_33_Region_Europe,33,Europe,Lago de Ajo,-6.15,43.05,1570,61,13893.75,26.1592642,58.2,25.1375,-7.2125,-3.1625,0,0,22.76,1.6,0,0,0.64,0,4.81,0,0,0.64,0,0.64,0.64,0,0,0,0,1.28,0,29.81,4.49,0,26.92,0,0,0,0,3.85,0,0,0,0,0
Entity_33_Region_Europe,33,Europe,Lago de Ajo,-6.15,43.05,1570,62,14299.32,22.65789335,76.5375,16.4375,-3.3125,9.5125,0,0,27.38,1.85,0.92,0,1.54,0,7.38,0,0,0.62,0,1.23,0,0,0,0,0,1.85,0,21.54,1.85,0,29.85,0,0.62,0.92,1.23,0,0,0,0,0,0
